,reference,rmse,algorithms,model,forecastings
0,360 FLIP ROJO CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
1,360 FLIP VERDE CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
2,50-50 GRIS OSCURO CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
3,50-50 GRIS CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
4,ABDEL GRIS CROYDON,0.4725509658941236,times_series,autoregression,"[0.23444371214424126, 0.4794855805706406, 0.32907549822890714, 0.43903846539142205]"
5,ABDEL CAFE CROYDON,0.215038111003866,times_series,autoregression,"[0.0, 0.055468458663130535, 0.057765721463968356, 0.29148099740925926]"
6,ABIE GRIS CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
7,ABIE AZUL CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
8,ACEROLA AZUL BLANCO CROYDON,0.32589848256403553,times_series,autoregression,"[0.3659955616889333, 0.8324136100830155, 0.0, 0.09113637837121066]"
9,ACEROLA AZUL ROSADO CROYDON,1.6746528186624774,times_series,autoregression,"[0.8106423927873486, 0.4085393999496901, 0.926700459123094, 0.442349674668217]"
10,ADISA ROJO CROYDON,1.5126712372187026,times_series,autoregression,"[1.2493277994925611, 1.4424132573556712, 0.0, 1.088621168155579]"
11,AFAF AZUL CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
12,AISLYN BLANCO CROYDON,0.31758657093135634,times_series,autoregression,"[1.460172463043708, 1.5066395414711697, 1.5251659474108075, 1.5568519572485062]"
13,AISLYN GRIS CROYDON,4.80239908870299,times_series,autoregression,"[8.813874154810264, 9.031245544945481, 8.05349497618638, 8.538552469402648]"
14,AISLYN ROSADO CROYDON,1.5795326915210697,times_series,autoregression,"[2.9608155011898725, 4.535678924136636, 4.796544851426069, 5.028328326401972]"
15,AISLYN NEGRO CROYDON,0.8642311612574606,times_series,autoregression,"[1.1229822520680401, 0.8862636730378719, 0.7869192158978743, 0.7795326607632814]"
16,AIXE JUNIOR NEGRO CROYDON,0.0,times_series,exponential_smoothing,"[0.0, 0.0, 0.0, 0.0]"
17,AIXE ROJO CROYDON,0.0,times_series,exponential_smoothing,"[0.0, 0.0, 0.0, 0.0]"
18,AIXE NEGRO CROYDON,0.0,regression_algorithms,baggin_regresor,"[0.0, 0.0, 0.0, 0.0]"
19,AJAX BEIGE CROYDON,0.0,times_series,exponential_smoothing,"[0.0, 0.0, 0.0, 0.0]"
20,AJOLOTE CORAL CROYDON,0.0,times_series,exponential_smoothing,"[0.0, 0.0, 0.0, 0.0]"
21,AJOLOTE MORADO CROYDON,0.06552615365314511,times_series,autoregression,"[0.06257995180579524, 0.0625091639112955, 0.06249363459163643, 0.062499800106933484]"
22,ALBARICOQUE BLANCO CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
23,ALBARICOQUE AZUL CROYDON,0.0,times_series,autoregression,"[0.0, 0.0, 0.0, 0.0]"
24,ALESIA AZUL CROYDON,0.9032720516864863,times_series,autoregression,"[0.4707380200365982, 0.9540667756619627, 0.8308504008125803, 0.7072042799606884]"
25,ALESIA AZUL OSCURO CROYDON,0.09277698436520557,times_series,autoregression,"[0.14819706564422183, 0.25597422999132324, 0.18189381278609262, 0.20739508394901382]"
26,ALESIO AZUL OSCURO CROYDON,0.0,regression_algorithms,linear_regresor,"[[-0.10000000000000026], [-0.1], [-0.10000000000000002], [-0.10000000000000005]]"
27,ALESIO AZUL CLARO CROYDON,0.0,times_series,exponential_smoothing,"[0.0, 0.0, 0.0, 0.0]"
28,ALEVIN AZUL CROYDON,0.0,regression_algorithms,logistic_regresion,"[0.0, 0.0, 0.0, 0.0]"
