,reference,model,algorithms,score,forecastings
0,360 FLIP ROJO CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
1,360 FLIP VERDE CROYDON,arima,times_series,0.008447523026406056,"[0.12329542923041446, 0.11565453096122821, 0.10843438119656047, 0.10161573323523082]"
2,50-50 GRIS OSCURO CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
3,50-50 GRIS CROYDON,logistic_regresion,regression_algorithms,0.7142857142857143,"[0.0, 0.0, 0.0, 0.0]"
4,ABDEL GRIS CROYDON,arima,times_series,0.5799233402819255,"[0.6343991666525605, 0.32624359169836065, 0.4172293107448139, 0.6462328722583603]"
5,ABDEL CAFE CROYDON,arima,times_series,0.43871684030435343,"[0.0903724768074835, 0.11553038711570518, 0.17378262356513757, 0.20460389759221248]"
6,ABIE GRIS CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
7,ABIE AZUL CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
8,ACEROLA AZUL BLANCO CROYDON,logistic_regresion,regression_algorithms,0.2857142857142857,"[0.0, 0.0, 0.0, 0.0]"
9,ACEROLA AZUL ROSADO CROYDON,ada_boost,regression_algorithms,0.686889092949699,"[17.0, 17.0, 71.0, 19.0]"
10,ADISA ROJO CROYDON,random_forest,regression_algorithms,0.6324417593503316,"[7.22, 7.22, 10.79, 55.47]"
11,AFAF AZUL CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
12,AISLYN BLANCO CROYDON,sarimax,times_series,0.36370787830675044,"[0.0, 4.496394727906935, 2.583671407290537, 0.0]"
13,AISLYN GRIS CROYDON,linear_regresor,regression_algorithms,0.8997760582041091,"[[-1.8749999999999716], [-10.874999999999986], [-7.374999999999957], [7.125000000000011]]"
14,AISLYN ROSADO CROYDON,linear_regresor,regression_algorithms,0.6888640828072108,"[[-10.249999999999957], [105.25000000000013], [180.74999999999994], [46.75000000000003]]"
15,AISLYN NEGRO CROYDON,logistic_regresion,regression_algorithms,0.2857142857142857,"[0.0, 0.0, 0.0, 0.0]"
16,AIXE JUNIOR NEGRO CROYDON,holt_winter,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
17,AIXE ROJO CROYDON,holt_winter,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
18,AIXE NEGRO CROYDON,ada_boost,regression_algorithms,1.0,"[0.0, 0.0, 0.0, 0.0]"
19,AJAX BEIGE CROYDON,holt_winter,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
20,AJOLOTE CORAL CROYDON,holt_winter,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
21,AJOLOTE MORADO CROYDON,baggin_regresor,regression_algorithms,1.0,"[0.0, 0.0, 0.0, 0.0]"
22,ALBARICOQUE BLANCO CROYDON,autoregression,times_series,1.0,"[0.0, 0.0, 0.0, 0.0]"
23,ALBARICOQUE AZUL CROYDON,logistic_regresion,regression_algorithms,0.5714285714285714,"[0.0, 0.0, 0.0, 0.0]"
24,ALESIA AZUL CROYDON,holt_winter,times_series,0.6655420544676524,"[0.0, 3.3857967847287664, 0.5907119463561368, 0.0]"
