,reference,class,standard_time_per_unit,units_per_shift,cost_per_unit
0,360 FLIP ROJO CROYDON,LONAS,0.000,0,0
1,360 FLIP VERDE CROYDON,LONAS,0.000,0,0
2,50-50 GRIS OSCURO CROYDON,LONAS,0.000,0,0
3,50-50 GRIS CROYDON,LONAS,0.000,0,0
4,ABDEL GRIS CROYDON,LONAS,0.000,0,0
5,ABDEL CAFE CROYDON,LONAS,0.000,0,0
6,ABIE GRIS CROYDON,LONAS,0.000,0,0
7,ABIE AZUL CROYDON,LONAS,0.000,0,0
8,ACEROLA AZUL BLANCO CROYDON,LONAS,0.000,0,0
9,ACEROLA AZUL ROSADO CROYDON,LONAS,0.000,0,0
10,ADISA ROJO CROYDON,LONAS,0.000,0,0
11,AFAF AZUL CROYDON,LONAS,0.000,0,0
12,AISLYN BLANCO CROYDON,LONAS,0.000,0,0
13,AISLYN GRIS CROYDON,LONAS,0.000,0,0
14,AISLYN ROSADO CROYDON,LONAS,0.000,0,0
15,AISLYN NEGRO CROYDON,LONAS,0.000,0,0
16,AIXE JUNIOR NEGRO CROYDON,LONAS,0.000,0,0
17,AIXE ROJO CROYDON,LONAS,0.000,0,0
18,AIXE NEGRO CROYDON,LONAS,0.000,0,0
19,AJAX BEIGE CROYDON,LONAS,0.000,0,0
20,AJOLOTE CORAL CROYDON,LONAS,0.000,0,0
21,AJOLOTE MORADO CROYDON,LONAS,0.000,0,0
22,ALBARICOQUE BLANCO CROYDON,LONAS,0.000,0,0
23,ALBARICOQUE AZUL CROYDON,LONAS,0.000,0,0
24,ALESIA AZUL CROYDON,LONAS,0.000,0,0
25,ALESIA AZUL OSCURO CROYDON,LONAS,0.000,0,0
26,ALESIO AZUL OSCURO CROYDON,LONAS,0.000,0,0
27,ALESIO AZUL CLARO CROYDON,LONAS,0.000,0,0
28,ALEVIN AZUL CROYDON,LONAS,0.000,0,0
29,ALEVIN VINOTINTO CROYDON,LONAS,0.000,0,0
30,ALFALFA ROSADO CROYDON,LONAS,0.000,0,0
31,ALFALFA MORADO CROYDON,LONAS,0.000,0,0
32,ALFARA BEIGE CROYDON,LONAS,0.000,0,0
33,ALFARA MORADO CROYDON,LONAS,0.000,0,0
34,ALHELI BEIGE CROYDON,LONAS,0.000,0,0
35,ALHELI GRIS CROYDON,LONAS,0.000,0,0
36,ALLAN CAFE CROYDON,LONAS,0.000,0,0
37,ALLAN VERDE CROYDON,LONAS,0.000,0,0
38,ALLAN NEGRO CROYDON,LONAS,0.000,0,0
39,ALLEN SURTIDO CROYDON,LONAS,0.000,0,0
40,AMARU ROSADO CROYDON,LONAS,0.000,0,0
41,ANANDA AMARILLO CROYDON,LONAS,0.000,0,0
42,ANANDA MORADO CROYDON,LONAS,0.000,0,0
43,ANDALUCIA BEIGE CROYDON,LONAS,0.000,0,0
44,ANDALUCIA NEGRO CROYDON,LONAS,0.000,0,0
45,ANNIKA ROJO CROYDON,LONAS,0.000,0,0
46,ANNIKA AZUL CROYDON,LONAS,0.000,0,0
47,ARANDANO MORADO CROYDON,LONAS,0.000,0,0
48,ARANDANO VERDE CROYDON,LONAS,0.000,0,0
49,ARIANA FUCSIA CROYDON,LONAS,0.000,0,0
50,ARIANA AZUL CROYDON,LONAS,0.000,0,0
51,ARIEL C AZUL REY CROYDON,LONAS,0.000,0,0
52,ARIEL BLANCO CROYDON,LONAS,0.000,0,0
53,ASTRA NEGRO CROYDON,LONAS,0.000,0,0
54,ATHOS BEIGE CROYDON,LONAS,0.000,0,0
55,ATHOS VERDE CROYDON,LONAS,0.000,0,0
56,ATOMIC PLATA CROYDON,LONAS,0.000,0,0
57,AYE AYE FUCSIA CROYDON,LONAS,0.000,0,0
58,AZAFRAN NEGRO CROYDON,LONAS,0.000,0,0
59,AZAFRAN BEIGE CROYDON,LONAS,0.000,0,0
60,AZANA CAFE CROYDON,LONAS,0.000,0,0
61,AZANA NEGRO CROYDON,LONAS,0.000,0,0
62,AZURA ROSADO CROYDON,LONAS,0.000,0,0
63,AZURA AZUL CROYDON,LONAS,0.000,0,0
64,BAO 2 GRIS AZUL CROYDON,LONAS,0.000,0,0
65,BAO 2 GRIS NEGRO CROYDON,LONAS,0.000,0,0
66,BAO VINOTINTO CROYDON,LONAS,0.000,0,0
67,BAO BLANCO CROYDON,LONAS,0.000,0,0
68,BAO ROJO CROYDON,LONAS,0.000,0,0
69,BAO AZUL CROYDON,LONAS,0.000,0,0
70,BASICO-D AGUAMARINA CROYDON,LONAS,0.000,0,0
71,BASICO-D CORAL CROYDON,LONAS,0.000,0,0
72,BASICO-D AZUL CROYDON,LONAS,0.000,0,0
73,BASICO-D VINOTINTO CROYDON,LONAS,0.000,0,0
74,BASICO-D VERDE CROYDON,LONAS,0.000,0,0
75,BEGONA AZUL CROYDON,LONAS,0.000,0,0
76,BEGONA FUCSIA CROYDON,LONAS,0.000,0,0
77,BENISSA BEIGE CROYDON,LONAS,0.000,0,0
78,BENISSA MORADO CROYDON,LONAS,0.000,0,0
79,BEYOTA FUCSIA CROYDON,LONAS,0.000,0,0
80,BEYOTA MORADO CROYDON,LONAS,0.000,0,0
81,BHEKA NEGRO CROYDON,LONAS,0.000,0,0
82,BIBI AGUAMARINA CROYDON,LONAS,0.000,0,0
83,BISHOP CAFE CROYDON,LONAS,0.000,0,0
84,BISHOP NEGRO CROYDON,LONAS,0.000,0,0
85,BITIO ROSADO CROYDON,LONAS,0.000,0,0
86,BLISS BEIGE CROYDON,LONAS,0.000,0,0
87,BLISS NEGRO CROYDON,LONAS,0.000,0,0
88,BLOOM 2 AGUAMARINA CROYDON,LONAS,0.000,0,0
89,BLOOM 2 FUCSIA CROYDON,LONAS,0.000,0,0
90,BOMBOM ROSADO CROYDON,LONAS,0.000,0,0
91,BOMBOM AZUL CROYDON,LONAS,0.000,0,0
92,BORDO GRIS CROYDON,LONAS,0.000,0,0
93,BORDO AZUL CROYDON,LONAS,0.000,0,0
94,BORDO NEGRO CROYDON,LONAS,0.000,0,0
95,BORUS AZUL CROYDON,LONAS,0.000,0,0
96,BORUS VERDE CROYDON,LONAS,0.000,0,0
97,BOSKOFF CAFE CROYDON,LONAS,0.000,0,0
98,BOSKOFF AZUL CROYDON,LONAS,0.000,0,0
99,KUDARY NEGRO CROYDON,LONAS,0.000,0,0
100,KUDARY GRIS CROYDON,LONAS,0.000,0,0
101,KUDARY ROSADO CROYDON,LONAS,0.000,0,0
102,KUDARY CAFE CROYDON,LONAS,0.000,0,0
103,BRAHMAN GRIS CROYDON,LONAS,0.000,0,0
104,BRAHMAN AZUL CROYDON,LONAS,0.000,0,0
105,BRILLANA BEIGE CROYDON,LONAS,0.000,0,0
106,BRILLANA AZUL CROYDON,LONAS,0.000,0,0
107,BRIOL CAFE CROYDON,LONAS,0.000,0,0
108,BRIOL ROJO CROYDON,LONAS,0.000,0,0
109,BUBBLEGUM FUCSIA CROYDON,LONAS,0.000,0,0
110,BUBBLEGUM MORADO CROYDON,LONAS,0.000,0,0
111,BUFFALO AZUL CROYDON,LONAS,0.000,0,0
112,BUFFALO VINOTINTO CROYDON,LONAS,0.000,0,0
113,BUFFALO NEGRO CROYDON,LONAS,0.000,0,0
114,BUFFALO DENIM AZUL OSCURO,LONAS,0.000,0,0
115,BUFFALO DENIM AZUL CROYDON,LONAS,0.000,0,0
116,BUFFALO JR. GRIS CROYDON,LONAS,0.000,0,0
117,BUFFALO JR. AZUL CROYDON,LONAS,0.000,0,0
118,BUFFALO JR. VINOTINTO CROYDON,LONAS,0.000,0,0
119,BUFFALO JR. NEGRO CROYDON,LONAS,0.000,0,0
120,BUFFALO JR GRIS CROYDON,LONAS,0.000,0,0
121,BUFFALO JR CAFE CROYDON,LONAS,0.000,0,0
122,BUFFALO JR AZUL CROYDON,LONAS,0.000,0,0
123,BUFFALO GRIS CROYDON,LONAS,0.000,0,0
124,BUFFALO BEIGE CROYDON,LONAS,0.000,0,0
125,BUFFALO VINTAGE CAFE CROYDON,LONAS,0.000,0,0
126,BUFFALO VINTAGE AZUL CROYDON,LONAS,0.000,0,0
127,BUFFALO VINTAGE VERDE CROYDON,LONAS,0.000,0,0
128,BULERIA AZUL CROYDON,LONAS,0.000,0,0
129,BULERIA FUCSIA CROYDON,LONAS,0.000,0,0
130,BULERIA NEGRO CROYDON,LONAS,0.000,0,0
131,CALIFORNIA AZUL OSCURO CROYDON,LONAS,0.000,0,0
132,CALIFORNIA AMARILLO OCRE,LONAS,0.000,0,0
133,CAMBARO GRIS OSCURO CROYDON,LONAS,0.000,0,0
134,CAMBARO GRIS CROYDON,LONAS,0.000,0,0
135,CAMPBELL AZUL CROYDON,LONAS,0.000,0,0
136,CAMPBELL VERDE CROYDON,LONAS,0.000,0,0
137,CAMPIONE BLANCO CROYDON,LONAS,0.000,0,0
138,CAMPIONE GRIS CROYDON,LONAS,0.000,0,0
139,CAMPIONE AZUL OSCURO CROYDON,LONAS,0.000,0,0
140,CAMPIONE AZUL CROYDON,LONAS,0.000,0,0
141,CAMPIONE VINOTINTO CROYDON,LONAS,0.000,0,0
142,CAMPIONE NEGRO CROYDON,LONAS,0.000,0,0
143,CAMPIONE VINTAGE GRIS CROYDON,LONAS,0.000,0,0
144,CANAMO BEIGE CROYDON,LONAS,0.000,0,0
145,CANAMO AZUL CROYDON,LONAS,0.000,0,0
146,CANIS GRIS CROYDON,LONAS,0.000,0,0
147,CANTINA BEIGE CROYDON,LONAS,0.000,0,0
